time,v_rl,v_rr,delta_fl,delta_fr
40.655386447906494,0.49249983014163373,0.5072682633033324,0.04562835597444259,0.044201616553734446
40.67471170425415,0.4921270209358195,0.5075563647971425,0.04783422905661894,0.04627030733058213
40.69234013557434,0.49217966529175683,0.5075291866575738,0.04780755829510763,0.04624539184313825
40.71111226081848,0.49223792669797456,0.5075160955626523,0.04767050510617743,0.04611704339225664
40.73005938529968,0.49228563375759665,0.5075271954043982,0.047580832349663815,0.046032983019650864
40.74713683128357,0.49232575268656187,0.5075515252531595,0.047490627630176974,0.04594834712474327
40.76527547836304,0.49235362341508737,0.507583285619132,0.04739839914749222,0.04586174703608048
40.78398895263672,0.49235378408717534,0.507606795727857,0.04739840040990195,0.0458616325860044
40.80396556854248,0.4923584367717352,0.5076360833623735,0.04730257257436943,0.04577159844376677
40.8224880695343,0.492349108294644,0.5076532249684773,0.04720170649118227,0.04567683529681421
40.8417854309082,0.49231024284028624,0.5076698936940263,0.04709476966087589,0.04557655262180038
40.86033606529236,0.4922919223017936,0.5076489395928356,0.04698103116369445,0.045470090358238124
40.877535820007324,0.4918998442767229,0.5079407184655648,0.04917284488409024,0.04752186474761544
40.89389753341675,0.49192567966196643,0.5078672012026983,0.04906426206518244,0.047420497121544614
40.913259744644165,0.49194618325579276,0.5077989067185118,0.04895635050129954,0.047319670469665454
40.93149542808533,0.4919604479732502,0.5077551290390027,0.04895634996559206,0.04731973210785245
40.95113492012024,0.4920048674514203,0.507709726770244,0.04885019443013494,0.04722051789527715
40.96981954574585,0.4920390222887758,0.5076857968096865,0.04874470148089749,0.0471218743028885
40.98707962036133,0.49208882784377156,0.5076662911716133,0.048641221051091144,0.047025067449071756
41.00579643249512,0.4921218947265325,0.5076562481601505,0.04854045033717469,0.046930775947929604
41.02298617362976,0.49214679019917623,0.5076770430368096,0.04854045534225637,0.0469306779409564
41.04153227806091,0.4921777939698268,0.5076959069411355,0.04844006015008784,0.046836610246561605
41.05960392951965,0.49219417483324146,0.5077212652109941,0.04833728614507127,0.046740269799617096
41.08001947402954,0.4917995826707077,0.5080958452540949,0.050579512228679846,0.04883494970861779
41.099918365478516,0.49179663479625846,0.5081227471794313,0.05048138832467597,0.04874320243118735
41.11935591697693,0.4917732686735879,0.5081374608888714,0.05042981511441447,0.04869490843990132
41.13758659362793,0.49177574072083136,0.5081259142150875,0.050322810305714505,0.04859498915425764
41.15726065635681,0.49173266323236764,0.5081305131830869,0.050209651074672124,0.0484894159670457
41.174617767333984,0.4917534693926421,0.5081042082641801,0.05009049016754119,0.048378345289946445
41.190311670303345,0.4917613408011485,0.5080705474303139,0.05009048619870882,0.04837903050946224
41.21173119544983,0.49181699446741,0.5079963132918305,0.04990329471163868,0.04820473754591692
41.2299644947052,0.4918759642649623,0.507923346551763,0.04977906050001213,0.04808887802601802
41.249961137771606,0.49192026684374507,0.5078712761506419,0.049658613624387726,0.04797637097375951
41.2689642906189,0.49154374518725563,0.5082158215993376,0.05204407798339972,0.050200861129807706
41.289252281188965,0.4915883984842747,0.5082105303642057,0.051947776126962886,0.05011109459079677
41.30935883522034,0.4916168029097403,0.5082144950426883,0.051851468466947104,0.050021287921198976
41.32864713668823,0.49162086682895284,0.5082332773588877,0.05180267067646582,0.04997570269481244
41.34842300415039,0.49162776172168576,0.5082414822367477,0.05165165629644086,0.049834893869940444
41.36674404144287,0.4916134087561603,0.5082568166752914,0.051651656814153846,0.04983481983067506
41.38594913482666,0.4915979603743274,0.5082685509190593,0.05154489659983863,0.04973521875166753
41.40662741661072,0.49157331003413063,0.5082794230381443,0.05143235456119477,0.04963026928277081
41.42435669898987,0.4915584749291563,0.5082783861527231,0.051313141469771395,0.04951926416060548
41.44157528877258,0.49157103367064603,0.5082485888754709,0.051186153479141794,0.04940102089456744
41.45975184440613,0.49113230850293743,0.5085922244175639,0.05369403485829505,0.05173481049887485
41.47937607765198,0.4911869867569037,0.5085581706257772,0.05365988969465807,0.05170305746540116
41.49731659889221,0.49122493476867163,0.5085262519474815,0.053601999749672835,0.051649252589047734
41.51637601852417,0.4912632580421405,0.5084955384386798,0.05348673050980768,0.051542135171001924
41.534684896469116,0.4913266060639809,0.5084481606776989,0.05331572789446959,0.051383182076266465
41.55297803878784,0.4913738948690769,0.5084168475467058,0.05320462781141533,0.05127987120546251
41.56947064399719,0.49141242141083485,0.50839352927042,0.05309535595891557,0.051178231366506566
41.58736824989319,0.4914370586402803,0.5083793177170197,0.05298623918005241,0.05107670083216753
41.605552434921265,0.4914443194624379,0.508375360334424,0.05287573915097443,0.05097384548984607
41.62513613700867,0.49143760825286453,0.5083790857973677,0.05276204554043673,0.050868006343437244
41.644176959991455,0.49142000495174326,0.508390961791735,0.05276204617214031,0.05086796273702099
41.66311979293823,0.49140360558806834,0.5083985151406823,0.05264298921366084,0.050757131349437046
41.681572675704956,0.49089914344180097,0.5088310729184191,0.05542657614061319,0.05334176999909612
41.6996967792511,0.4909025735522794,0.5088444521389253,0.05533793204269344,0.05325952580707938
41.719359397888184,0.4908938225434923,0.5088723614262817,0.055217329504853474,0.053147892999247937
41.73744177818298,0.4909485928583683,0.508883284585363,0.0550920817306233,0.05303188610186105
41.75672936439514,0.4910196054987611,0.5088702749496801,0.05496012117334104,0.05291012942627571
41.776007890701294,0.49106769884599694,0.5088090400433218,0.05482648791644262,0.05278651018114733
41.79371476173401,0.4911065218241835,0.5087643539366191,0.05469380518089029,0.052663496896517614
41.81579303741455,0.49116262736587896,0.5086973938017149,0.05456386369310273,0.05254287798435353
41.83277678489685,0.4912019591933592,0.5086478639072615,0.05443772855458562,0.05242566719261621
41.8510684967041,0.4912106292403466,0.5086296310352804,0.05443773368451854,0.05242552620075269
41.870511054992676,0.49072250674628637,0.5090445030124449,0.057296694548329974,0.055073603406914806
41.88999676704407,0.4907308825174733,0.5090332470831251,0.05716315577814246,0.05495004368328171
41.91315317153931,0.4907153240887418,0.5090280207897926,0.05705350736538595,0.054848589057479025
41.93197727203369,0.4906927134462653,0.5090258739211724,0.05693926719283038,0.05474289209019911
41.950199604034424,0.49067393227156436,0.5090258173420812,0.05681892135287203,0.054631535145667875
41.96870255470276,0.49066787695592834,0.5090256519253112,0.05669196214151917,0.054514032207781504
41.98566794395447,0.4906736229116472,0.5090284129408582,0.05655869946199754,0.05439069766202653
42.00530433654785,0.490673380280841,0.5090384425216935,0.05655869675046166,0.054390708129289145
42.02656936645508,0.4907579102973065,0.5090097723301185,0.05627605353706944,0.05412911716731461
42.04559683799744,0.49077511261096357,0.5090101561951043,0.05627605170085381,0.05412911293424205
42.06712770462036,0.49028650703451415,0.509436845585006,0.05926092697993912,0.05688691883992103
42.08576035499573,0.4903735462994746,0.5094256612908413,0.05916341720283658,0.05679699930162041
42.105143308639526,0.4904339395419841,0.5093930293701657,0.05903963636966392,0.056682839317082845
