front_left_steering,front_right_steering
-2.1342790645917376e-08,-5.447516038259437e-08
-2.134280929766419e-08,-5.4475106203710766e-08
-2.1342828837589423e-08,-5.4475052024827164e-08
-2.1342845712979397e-08,-5.447499784594356e-08
-2.134286525290463e-08,-5.447494277888154e-08
-2.1342883904651444e-08,-5.447488859999794e-08
-2.1342902556398258e-08,-5.447483442111434e-08
-2.1342919431788232e-08,-5.4474780242230736e-08
-2.1342938971713465e-08,-5.4474726063347134e-08
-2.134295673528186e-08,-5.447467099628511e-08
-2.1342974498850253e-08,-5.447461859375835e-08
-2.1342993150597067e-08,-5.447456441487475e-08
-2.134301180234388e-08,-5.447451112416957e-08
-2.1343029565912275e-08,-5.4474456945285965e-08
-2.134304732948067e-08,-5.447440365458078e-08
-2.1343065981227483e-08,-5.447434947569718e-08
-2.1343083744795877e-08,-5.447429529681358e-08
-2.134310239654269e-08,-5.447424111792998e-08
-2.1343120160111084e-08,-5.4474186939046376e-08
-2.1343137923679478e-08,-5.4474131871984355e-08
-2.134315835178313e-08,-5.447407769310075e-08
-2.1343175227173106e-08,-5.447402351421715e-08
-2.134319476709834e-08,-5.447396933533355e-08
-2.1343212530666733e-08,-5.447391515644995e-08
-2.1343230294235127e-08,-5.4473860977566346e-08
-2.134324805780352e-08,-5.4473805910504325e-08
-2.1343267597728754e-08,-5.447375173162072e-08
-2.1343286249475568e-08,-5.447369755273712e-08
-2.1343303124865542e-08,-5.447364337385352e-08
-2.1343324441147615e-08,-5.447358919496992e-08
-2.134334042835917e-08,-5.4473534127907897e-08
-2.1343358191927564e-08,-5.4473479949024295e-08
-2.1343378620031217e-08,-5.447342577014069e-08
-2.134339638359961e-08,-5.447337159125709e-08
-2.1343414147168005e-08,-5.447331741237349e-08
-2.134343279891482e-08,-5.447326412166831e-08
-2.1343451450661632e-08,-5.4473209942784706e-08
-2.1343469214230026e-08,-5.4473155763901104e-08
-2.134348697779842e-08,-5.44731015850175e-08
-2.1343505629545234e-08,-5.44730474061339e-08
-2.1343524281292048e-08,-5.44729932272503e-08
-2.1343542044860442e-08,-5.44729390483667e-08
-2.1343559808428836e-08,-5.4472885757661516e-08
-2.134357934835407e-08,-5.4472831578777914e-08
-2.1343596223744044e-08,-5.447277828807273e-08
-2.1343614875490857e-08,-5.447272499736755e-08
